,Z,A,E,dE,f1,df1
0,33,75,10.645999999999999,0.0,6.559999999999999e-08,7.090000000000001e-09
1,33,75,10.955,0.0,9.74e-08,8e-09
2,33,75,11.265,0.0,1.2099999999999998e-07,8.62e-09
3,33,75,11.575,0.0,1.68e-07,9.82e-09
4,33,75,11.885,0.0,1.62e-07,7.659999999999999e-09
5,33,75,12.194,0.0,1.8800000000000002e-07,8.25e-09
6,33,75,12.504000000000001,0.0,2.01e-07,8.46e-09
7,33,75,12.814,0.0,2.57e-07,9.140000000000001e-09
8,33,75,13.123,0.0,2.59e-07,9.12e-09
9,33,75,13.433,0.0,3.61e-07,1.03e-08
10,33,75,13.743,0.0,3.5799999999999995e-07,1.02e-08
11,33,75,14.052,0.0,4.2299999999999996e-07,1.01e-08
12,33,75,14.362,0.0,4.6e-07,9.12e-09
13,33,75,14.672,0.0,4.86e-07,9.4e-09
14,33,75,14.982000000000001,0.0,5.01e-07,9.670000000000002e-09
15,33,75,15.290999999999999,0.0,5.33e-07,1e-08
16,33,75,15.600999999999999,0.0,5.19e-07,1e-08
17,33,75,15.911,0.0,5.14e-07,6.54e-09
18,33,75,16.22,0.0,5.2e-07,8.45e-09
19,33,75,16.53,0.0,4.970000000000001e-07,8.45e-09
20,33,75,16.84,0.0,5e-07,8.6e-09
21,33,75,17.149,0.0,4.66e-07,8.5e-09
22,33,75,17.459,0.0,4.46e-07,8.55e-09
23,33,75,17.769000000000002,0.0,4.4e-07,8.25e-09
24,33,75,18.079,0.0,4.3e-07,8.35e-09
25,33,75,18.387999999999998,0.0,4.0700000000000003e-07,8.35e-09
26,33,75,18.698,0.0,3.7299999999999997e-07,7.33e-09
27,33,75,19.008,0.0,3.5e-07,7.16e-09
28,33,75,19.317,0.0,3.16e-07,8.58e-09
29,33,75,19.627,0.0,2.75e-07,8.53e-09
30,33,75,19.937,0.0,2.72e-07,8.7e-09
31,33,75,20.246,0.0,2.39e-07,8.65e-09
32,33,75,20.555999999999997,0.0,2.35e-07,8.69e-09
33,33,75,20.866,0.0,2.3e-07,8.77e-09
34,33,75,21.176,0.0,1.91e-07,8.07e-09
35,33,75,21.485,0.0,1.8899999999999999e-07,7.67e-09
36,33,75,21.795,0.0,1.66e-07,8.16e-09
37,33,75,22.105,0.0,1.6300000000000002e-07,8.199999999999999e-09
38,33,75,22.414,0.0,1.66e-07,8.240000000000001e-09
39,33,75,22.724,0.0,1.31e-07,5.420000000000001e-09
40,33,75,23.034000000000002,0.0,1.24e-07,7.0400000000000005e-09
41,33,75,23.343000000000004,0.0,1.3800000000000002e-07,7.58e-09
42,33,75,23.653000000000002,0.0,1.0300000000000001e-07,9.24e-09
43,33,75,23.963,0.0,9.85e-08,8.87e-09
44,33,75,24.273000000000003,0.0,9.970000000000001e-08,8.75e-09
45,33,75,24.581999999999997,0.0,7.9e-08,9.420000000000001e-09
46,33,75,24.892,0.0,7.139999999999999e-08,9.02e-09
47,33,75,25.201999999999998,0.0,1e-07,9.769999999999999e-09
48,33,75,25.511,0.0,8.019999999999999e-08,9.32e-09
49,39,89,12.504000000000001,0.0,1.41e-07,3.4000000000000003e-09
50,39,89,12.659,0.0,1.58e-07,3.5600000000000005e-09
51,39,89,12.814,0.0,1.7699999999999998e-07,3.86e-09
52,39,89,12.969000000000001,0.0,1.91e-07,4.01e-09
53,39,89,13.123,0.0,2.0899999999999998e-07,4.23e-09
54,39,89,13.277999999999999,0.0,2.3100000000000002e-07,4.44e-09
55,39,89,13.433,0.0,2.4899999999999997e-07,4.65e-09
56,39,89,13.588,0.0,2.69e-07,4.85e-09
57,39,89,13.743,0.0,2.8e-07,5.05e-09
58,39,89,13.898,0.0,3.03e-07,5.3e-09
59,39,89,14.052999999999999,0.0,3.2600000000000003e-07,5.620000000000001e-09
60,39,89,14.207,0.0,3.6e-07,5.920000000000001e-09
61,39,89,14.362,0.0,3.93e-07,6.22e-09
62,39,89,14.517000000000001,0.0,4.3299999999999997e-07,6.690000000000001e-09
63,39,89,14.672,0.0,4.66e-07,7.090000000000001e-09
64,39,89,14.827,0.0,5.21e-07,7.37e-09
65,39,89,14.982000000000001,0.0,5.61e-07,7.87e-09
66,39,89,15.136,0.0,6.02e-07,8.25e-09
67,39,89,15.290999999999999,0.0,6.520000000000001e-07,6.18e-09
68,39,89,15.446,0.0,6.790000000000001e-07,8.42e-09
69,39,89,15.600999999999999,0.0,7.559999999999999e-07,9.73e-09
70,39,89,15.755999999999998,0.0,7.87e-07,9.740000000000002e-09
71,39,89,15.911,0.0,8.45e-07,1.01e-08
72,39,89,16.066,0.0,9.070000000000001e-07,1.1000000000000001e-08
73,39,89,16.22,0.0,9.04e-07,1.1100000000000002e-08
74,39,89,16.375,0.0,9.38e-07,6.779999999999999e-09
75,39,89,16.53,0.0,9.65e-07,1.2099999999999999e-08
76,39,89,16.685,0.0,9.570000000000001e-07,1.14e-08
77,39,89,16.84,0.0,9.48e-07,7.52e-09
78,39,89,17.15,0.0,8.95e-07,9.509999999999999e-09
79,39,89,17.459,0.0,8.25e-07,7e-09
80,39,89,17.614,0.0,7.529999999999999e-07,1.02e-08
81,39,89,17.769000000000002,0.0,7.32e-07,6.64e-09
82,39,89,17.924,0.0,6.68e-07,8.809999999999999e-09
83,39,89,18.079,0.0,6.28e-07,7.440000000000001e-09
84,39,89,18.233,0.0,5.9e-07,1.01e-08
85,39,89,18.387999999999998,0.0,5.47e-07,6.04e-09
86,39,89,18.543,0.0,5.19e-07,8.75e-09
87,39,89,18.698,0.0,4.78e-07,6.679999999999999e-09
88,39,89,18.852999999999998,0.0,4.5799999999999995e-07,8.1e-09
89,39,89,19.008,0.0,4.25e-07,6.3e-09
90,39,89,19.317,0.0,3.79e-07,8.67e-09
91,39,89,19.627,0.0,3.53e-07,8.62e-09
92,39,89,19.937,0.0,3.09e-07,9.75e-09
93,39,89,20.247,0.0,3e-07,9.379999999999999e-09
94,39,89,20.555999999999997,0.0,2.65e-07,1.78e-08
95,39,89,20.866,0.0,2.5e-07,1.85e-08
96,39,89,21.176,0.0,2.35e-07,1.33e-08
97,39,89,21.485,0.0,1.8100000000000002e-07,1.88e-08
98,39,89,21.795,0.0,1.7699999999999998e-07,1.35e-08
99,39,89,22.105,0.0,1.51e-07,1.93e-08
100,39,89,22.414,0.0,1.49e-07,1.3899999999999999e-08
101,39,89,22.724,0.0,1.3800000000000002e-07,2.0099999999999998e-08
102,39,89,23.034000000000002,0.0,1.11e-07,1.78e-08
103,39,89,23.344,0.0,9.470000000000001e-08,1.3e-08
104,39,89,23.653000000000002,0.0,9.9e-08,1.29e-08
105,39,89,23.963,0.0,9.560000000000001e-08,2.0099999999999998e-08
106,39,89,24.273000000000003,0.0,9.039999999999999e-08,1.22e-08
107,39,89,24.581999999999997,0.0,9.49e-08,1.38e-08
108,39,89,24.892,0.0,9.48e-08,1.26e-08
109,39,89,25.201999999999998,0.0,8.16e-08,1.38e-08
110,39,89,25.511,0.0,8.019999999999999e-08,1.26e-08
111,13,27,13.2,0.0,1.4299999999999999e-08,1.05e-08
112,13,27,13.4,0.0,4.25e-08,8.409999999999999e-09
113,13,27,13.6,0.0,3.92e-08,9.25e-09
114,13,27,13.8,0.0,3.3e-08,9.109999999999999e-09
115,13,27,14.0,0.0,3.21e-08,9.17e-09
116,13,27,14.2,0.0,3.19e-08,9.96e-09
117,13,27,14.4,0.0,2.8300000000000002e-08,9.220000000000001e-09
118,13,27,14.6,0.0,4.3e-08,7.37e-09
