,Z,A,E,dE,f1,df1
0,76,188,8.1,0.0,1.62e-07,2.02e-08
1,76,188,8.17,0.0,2.0600000000000002e-07,1.73e-08
2,76,188,8.43,0.0,3.5399999999999997e-07,2.4e-08
3,76,188,8.78,0.0,4.1e-07,2.7799999999999997e-08
4,76,188,8.82,0.0,3.95e-07,2.5499999999999997e-08
5,76,188,9.09,0.0,4.2799999999999997e-07,2.69e-08
6,76,188,9.47,0.0,5.839999999999999e-07,3.54e-08
7,76,188,10.08,0.0,6.690000000000001e-07,4.1699999999999996e-08
8,76,188,10.45,0.0,8.179999999999999e-07,4.9900000000000003e-08
9,76,188,10.94,0.0,1.01e-06,5.7699999999999994e-08
10,64,154,9.25,0.0,3.75e-07,0.0
11,64,154,9.5,0.0,4.5799999999999995e-07,0.0
12,64,154,9.75,0.0,5.389999999999999e-07,0.0
13,64,154,10.0,0.0,6.21e-07,0.0
14,64,154,10.25,0.0,7.4e-07,0.0
15,64,154,10.5,0.0,7.28e-07,0.0
16,64,154,10.75,0.0,8.96e-07,0.0
17,64,154,11.0,0.0,1e-06,0.0
18,64,154,11.25,0.0,1.14e-06,0.0
19,64,154,11.5,0.0,1.28e-06,0.0
20,64,154,11.75,0.0,1.45e-06,0.0
21,64,154,12.0,0.0,1.55e-06,0.0
22,64,154,12.25,0.0,1.56e-06,0.0
23,64,154,12.5,0.0,1.58e-06,0.0
24,64,154,12.75,0.0,1.4e-06,0.0
25,64,154,13.0,0.0,1.21e-06,0.0
26,64,154,13.25,0.0,1.17e-06,0.0
27,64,154,13.5,0.0,1.22e-06,0.0
28,64,154,13.75,0.0,1.34e-06,0.0
29,64,154,14.0,0.0,1.5e-06,0.0
30,64,154,14.25,0.0,1.63e-06,0.0
31,64,154,14.5,0.0,1.65e-06,0.0
32,64,154,14.75,0.0,1.58e-06,0.0
33,64,154,15.0,0.0,1.63e-06,0.0
34,64,154,15.25,0.0,1.48e-06,0.0
35,64,154,15.5,0.0,1.37e-06,0.0
36,64,154,15.75,0.0,1.27e-06,0.0
37,64,154,16.0,0.0,1.16e-06,0.0
38,64,154,16.25,0.0,1.08e-06,0.0
39,64,154,16.5,0.0,8.15e-07,0.0
40,64,154,16.75,0.0,7.3e-07,0.0
41,64,154,17.0,0.0,6.02e-07,0.0
42,64,154,17.25,0.0,4.6200000000000003e-07,0.0
43,64,154,17.5,0.0,6.690000000000001e-07,0.0
44,64,154,17.75,0.0,5.91e-07,0.0
45,64,154,18.0,0.0,4.96e-07,0.0
46,64,154,18.25,0.0,3.61e-07,0.0
47,64,154,18.5,0.0,2.72e-07,0.0
48,64,154,18.75,0.0,2.24e-07,0.0
49,64,154,19.0,0.0,1.8399999999999998e-07,0.0
50,64,154,19.25,0.0,1.68e-07,0.0
51,64,154,19.5,0.0,9.03e-08,0.0
52,64,154,19.75,0.0,1.7600000000000001e-07,0.0
53,64,154,20.0,0.0,3.29e-07,0.0
54,64,154,20.25,0.0,3.6299999999999995e-07,0.0
55,64,154,20.5,0.0,3.88e-07,0.0
56,64,154,20.75,0.0,3.0399999999999997e-07,0.0
57,64,154,21.0,0.0,2e-07,0.0
58,64,154,21.25,0.0,1.1e-07,0.0
59,50,116,9.942,0.0,6.28e-08,8.72e-09
60,50,116,10.097000000000001,0.0,1.6300000000000002e-07,8.590000000000001e-09
61,50,116,10.252,0.0,1.35e-07,8.46e-09
62,50,116,10.407,0.0,1.42e-07,1.67e-08
63,50,116,10.562000000000001,0.0,2.05e-07,8.209999999999999e-09
64,50,116,10.717,0.0,1.7e-07,1.62e-08
65,50,116,10.872,0.0,1.36e-07,1.6e-08
